time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-13T05:40:08.410Z,46.8637,-112.5439,10.61,3.7,ml,,74,0.058,0.21,us,us20009vwd,2017-07-13T11:15:18.024Z,"14km SE of Lincoln, Montana",earthquake,1.1,3,0.056,42,reviewed,us,us
2017-07-13T05:29:22.299Z,63.1132,-151.4631,0,2.7,ml,,,,0.82,ak,ak16330824,2017-07-13T05:37:49.645Z,"111km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-07-13T05:09:33.733Z,59.6782,-136.5991,2.1,1.7,ml,,,,0.79,ak,ak16330814,2017-07-13T05:16:14.622Z,"76km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-07-13T05:05:50.650Z,59.1929,-153.6052,103.7,1.7,ml,,,,0.64,ak,ak16330812,2017-07-13T05:10:53.473Z,"96km SE of Old Iliamna, Alaska",earthquake,,1.5,,,automatic,ak,ak
2017-07-13T05:03:31.800Z,23.5443,94.5488,89.68,4.8,mb,,70,0.719,0.68,us,us20009vw9,2017-07-13T05:26:27.040Z,"16km SE of Mawlaik, Burma",earthquake,6.1,5.8,0.089,39,reviewed,us,us
2017-07-13T04:58:03.880Z,37.5623322,-118.8528366,6.97,1.48,md,19,104,0.03346,0.02,nc,nc72835431,2017-07-13T06:46:01.686Z,"14km SE of Mammoth Lakes, California",earthquake,0.27,0.56,0.11,14,automatic,nc,nc
2017-07-13T04:48:45.020Z,19.3133335,-155.1376648,2.09,1.77,md,48,108,0.0285,0.22,hv,hv61832966,2017-07-13T04:52:17.380Z,"16km SE of Volcano, Hawaii",earthquake,0.44,0.63,0.16,21,automatic,hv,hv
2017-07-13T04:02:50.090Z,33.3661667,-116.1966667,0.69,1.03,ml,20,128,0.2089,0.26,ci,ci37701199,2017-07-13T04:06:50.043Z,"14km SW of Oasis, CA",earthquake,0.86,31.61,0.169,28,automatic,ci,ci
2017-07-13T04:02:35.820Z,-4.8775,153.15,11.19,4.8,mb,,118,7.453,0.67,us,us20009vvw,2017-07-13T04:27:38.040Z,"47km SSE of Taron, Papua New Guinea",earthquake,11.1,5.2,0.098,32,reviewed,us,us
2017-07-13T03:50:35.500Z,19.4061661,-155.276001,0.67,1.73,md,13,55,0.007459,0.21,hv,hv61832876,2017-07-13T03:53:25.260Z,"4km SW of Volcano, Hawaii",earthquake,0.17,0.51,0.14,8,automatic,hv,hv
